ApArtId	AP Art	AP Status	AP Start im Jahr	AP Stand Umsetzung	Pop Guid	Pop Nr	Pop Name	Pop Status	Pop bekannt seit	Pop X-Koordinaten	Pop Y-Koordinaten	TPopId	TPop Guid	TPop Nr	TPop Gemeinde	TPop Flurname	TPop Status	TPop Status unklar	TPop Begründung für unklaren Status	TPop X-Koordinaten	TPop Y-Koordinaten	TPop Radius (m)	TPop Höhe	TPop Exposition	TPop Klima	TPop Hangneigung	TPop Beschreibung	TPop Kataster-Nr	TPop Verantwortlich	TPop für AP-Bericht relevant	TPop bekannt seit	TPop EigentümerIn	TPop Kontakt vor Ort	TPop Nutzungszone	TPop BewirtschafterIn	TPop Bewirtschaftung	TPop Lage repräsentiert Population	MutWann	MutWer	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	E472D347-8298-43A0-BD02-FB889B6F9F5B	17	Fischenthal, Fischenthalerriet	autochthon	1994	711900	242200	-1559294723	44AE09B9-87F4-407C-9A16-8E404F7765DA	1	Fischenthal	Fischenthalerriet	autochthon	0		711900	242200								Charlotte Salzmann	1	1994			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	A2671BB7-02E3-4E49-8599-52E0CE8D4091	18	Greifensee/Fällanden, Nordufer Greifensee	autochthon	1913	693080	247120	1981550451	C16CE552-DDC8-43C4-9ACC-FC7D9B0FCA54	1	Greifensee	Greifensee, Furen	autochthon	0		693080	247120						Hof "Furen", westl. schräg vis à vis (über Strasse und Weg) sehr nasser Bereich seeseitig vom breiten Weg		Charlotte Salzmann	1	1996	NSG					1	2010-12-24 15:29:56	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	A2671BB7-02E3-4E49-8599-52E0CE8D4091	18	Greifensee/Fällanden, Nordufer Greifensee	autochthon	1913	693080	247120	1436151513	51E2CDEC-C6C5-4B96-A3F3-F96C0494DDA3	2	Greifensee	Greifensee, Böschen	autochthon	0		693030	247250								Charlotte Salzmann	1	1913			NSG			0	2010-12-24 15:17:21	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	A2671BB7-02E3-4E49-8599-52E0CE8D4091	18	Greifensee/Fällanden, Nordufer Greifensee	autochthon	1913	693080	247120	1526540194	E46742DF-BBC4-4742-B55E-167445C50DA0	3	Greifensee	Böschen (gegen Schwerzenbach)	erloschen, zuvor autochthon	0		692720	247540								Charlotte Salzmann	2	1970			NSG			0	2010-12-24 15:18:29	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	A2671BB7-02E3-4E49-8599-52E0CE8D4091	18	Greifensee/Fällanden, Nordufer Greifensee	autochthon	1913	693080	247120	622798286	4EC64DAD-A790-431F-8701-780A4C0E8F7A	4	Fällanden	Schwerzenbach, Suelen	erloschen, zuvor autochthon	0		691700	247200	9000							Charlotte Salzmann	2	1913						0	2010-12-24 15:29:02	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	A2671BB7-02E3-4E49-8599-52E0CE8D4091	18	Greifensee/Fällanden, Nordufer Greifensee	autochthon	1913	693080	247120	-501613815	A329A6D1-0DE3-47F0-88B8-F232E171F346	5	Fällanden	Fällanden, Stritgfenn/Usserriet	erloschen, zuvor autochthon	0		691700	247500	750							Charlotte Salzmann	2	1934			NSG			0	2010-12-24 17:00:11	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	757E1A97-13DA-42C8-9601-982F55C418B8	20	Hettlingen, Hettlinger Ried	erloschen, zuvor autochthon	1878	695785	266629	1877246492	EA947DB1-7A75-4936-AD9C-36E513412F88	1	Hettlingen	Hettlinger Ried	erloschen, zuvor autochthon	0		695785	266629								Charlotte Salzmann	2	1883						1	2011-05-25 16:15:43	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	E5DA8752-2A65-4A93-8538-BDA8B42CF080	21	Hettlingen, Baldisried	autochthon	1956	695300	267500	-95803990	594956A7-A28B-40CC-A8A2-A6B41E6A31DE	1	Hettlingen	Baldisried	autochthon	0		695300	267500								Charlotte Salzmann	1	1956			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	79FC5852-C8D7-4E63-8780-14499DF0B651	25	Hirzel, Chrutzelenmoos	autochthon	1996	688540	231390	2131959511	7AF216C6-44F0-41F2-B137-CF704A88B185	2	Hirzel	Chrutzelenmoos, N	autochthon	0		688540	231390						Nahe der Nordecke im Chrutzelenried nördlich von Hirzel,  nasse, moosreiche Stelle ca. 8m SSW Erle am Riedrand		Charlotte Salzmann	1	1996			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	A17EA876-8C16-4122-BA6E-84D1B30729B7	26	Hittnau, Hofhalden	autochthon	1994	704625	245050	-1265681223	5F2990DF-9F17-4067-AA96-B453749DFEB2	1	Hittnau	Hofhalden, W (unterhalb Strasse)	erloschen, zuvor autochthon	0		704525	244975						Hofhalden, unter und oberhalb der Strasse nach Wetzikon nach der Abzweigung (Irniger, 1994)		Charlotte Salzmann	1	1994			NSG			0	2011-12-16 10:05:40	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	A17EA876-8C16-4122-BA6E-84D1B30729B7	26	Hittnau, Hofhalden	autochthon	1994	704625	245050	-867819302	FAB079D6-942C-44D3-9B6B-F3134DDE41C8	2	Hittnau	Hofhalden, E (oberhalb Strasse)	autochthon	0		704625	245050						Hofhalden, unter und oberhalb der Strasse nach Wetzikon nach der Abzweigung (Irniger 1994)		Charlotte Salzmann	1	1994			NSG			1	2012-11-08 16:22:55	rüegg	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	FFB7D506-3915-4A13-97CF-82638FBC71D8	27	Neerach, Neeracherried	autochthon	1965	678500	262140	1665873295	BB48FC14-8D64-4D81-8DE7-84C7B3FBB706	1	Neerach	Neeracherried, Turpenlöcher	autochthon	0		678500	262140								Charlotte Salzmann	1	1965			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	F372D41A-72AC-47E7-A61B-B6CCC2D2CB3E	28	Horgen, Horgenberg	erloschen, zuvor autochthon	1960	687500	232500	486437461	73E7DF34-AD96-4EE5-B7A8-F0615D9D7FA0	1	Horgen	Horgenberg	erloschen, zuvor autochthon	0		687500	232500								Charlotte Salzmann	2	1960						1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	A6A7FBBA-9BD7-4B83-B1BF-D44C3DE4EA4E	29	Horgen, Grindelriet	autochthon	1996	687995	232615	-1413720949	BF21BA77-5140-4DD0-8241-8DBF49F48EED	1	Horgen	Horgen, Grindelriet	autochthon	0		687995	232615						Flachmoor SSW Hof Grindel auf dem Horgenberg, hier im südlichen Teil, ca. 5m links (östl.) des kleinen durch Menyanthes verlandenden Grabens		Charlotte Salzmann	1	1996			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	0C05C51F-2F99-4A2B-AEF3-0EEE078F7613	31	Illnau-Effretikon, Wildert (Seewadel)	autochthon	1919	696975	250450	881297418	E33CD7B1-1BF7-4E7E-885F-27A444A6F6CB	1	Illnau-Effretikon	Wildert	autochthon	0		696975	250450						Judith Lienert 1997: etwa in der NE-Ecke in nasser, etwas offenerer Stelle in stark verschilftem Bereich		Charlotte Salzmann	1	1919			NSG			1	2011-12-15 09:55:32	sartori	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	FAB9F4E8-D52B-438C-943D-599ABA137686	36	Kloten, Eigental (Pantli)	autochthon	1979	689050	258090	508043385	ACC222F5-5CC1-4E41-B391-984FC55E083C	1	Kloten	Eigental, Sünnel N	autochthon	0		689050	258090						Flachmoor südl. "Ifang" im Eigental südl. Oberembrach, 50m westl. der Abzweigung (in Fahrtrichtung Oberembrach, rechts) zum Hof Eigental		Charlotte Salzmann	1	1996			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	FAB9F4E8-D52B-438C-943D-599ABA137686	36	Kloten, Eigental (Pantli)	autochthon	1979	689050	258090	-1592104122	0C1644A3-7C00-4C90-9A57-660B839982F3	2	Kloten	Eigental, Rietli	autochthon	0		689600	257300	100							Charlotte Salzmann	1	1996			NSG			0	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	FAB9F4E8-D52B-438C-943D-599ABA137686	36	Kloten, Eigental (Pantli)	autochthon	1979	689050	258090	-1398981511	B99087AB-9581-45C8-A3E5-4D2D514AA016	3	Kloten	Eigental, Luegelen	autochthon	0		689250	257270						Feuchtgebiet S Strasse SE Gerlisberg bei "Pantli"		Charlotte Salzmann	1	1996			NSG			0	2012-11-21 18:03:52	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	FAB9F4E8-D52B-438C-943D-599ABA137686	36	Kloten, Eigental (Pantli)	autochthon	1979	689050	258090	2146451120	6f27e834-33fd-11e2-a78a-003048cd3590	4	Kloten	Eigental, Eigleten	neu entdeckt, autochthon			689136	258902	10							Charlotte Salzmann	1	2012							2012-11-21 18:05:10	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	D9867BA5-D81C-4F90-ADC7-AA4E1E1FC51B	37	Kloten, Flughafen	erloschen, zuvor autochthon	1933	684700	257400	-148661532	5EDFE951-041C-4860-B029-160D2E774C5A	1	Kloten	Grindler	erloschen, zuvor autochthon	0		684700	257400						Grindler bei Kloten in Streifen zwischen Flugplatz und Militärstrasse		Charlotte Salzmann	2	1963						1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	D9867BA5-D81C-4F90-ADC7-AA4E1E1FC51B	37	Kloten, Flughafen	erloschen, zuvor autochthon	1933	684700	257400	-1739519054	BE614959-080D-4693-873C-E4742A66BC1F	2	Kloten	Cheibenwinkel	erloschen, zuvor autochthon	0		684300	257600								Charlotte Salzmann	2	1963						0	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	D9867BA5-D81C-4F90-ADC7-AA4E1E1FC51B	37	Kloten, Flughafen	erloschen, zuvor autochthon	1933	684700	257400	-1992230325	AD66198D-C986-4FDF-9544-03DB57D9D888	3	Kloten	Golden Tor	erloschen, zuvor autochthon	0		684908	257830		425						Charlotte Salzmann	2	1933						0	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	ACF14539-037D-40D0-AB6C-93D438562B85	39	Maur, Uessikon	erloschen, zuvor autochthon	1934	694500	242300	-2098330749	CF7E7BB7-4831-4E90-8C9F-A33F8C7F75E5	1	Maur	Pünt	erloschen, zuvor autochthon	0		694500	242300	250	440						Charlotte Salzmann	2	1934						1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	ACF14539-037D-40D0-AB6C-93D438562B85	39	Maur, Uessikon	erloschen, zuvor autochthon	1934	694500	242300	1824411656	EE3670CC-8E50-421D-9B72-82D99705DB4D	2	Maur	Einfang	erloschen, zuvor autochthon	0		694482	242665								Charlotte Salzmann	2	1934						0	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	ACF14539-037D-40D0-AB6C-93D438562B85	39	Maur, Uessikon	erloschen, zuvor autochthon	1934	694500	242300	-212123287	4A36F6C1-EFF8-4C01-941C-58F200F5E0D6	3	Maur	Maur	erloschen, zuvor autochthon	0		693000	244000	750							Charlotte Salzmann	2	1934						0	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	ACF14539-037D-40D0-AB6C-93D438562B85	39	Maur, Uessikon	erloschen, zuvor autochthon	1934	694500	242300	-955670011	D0EE6392-FD9D-4688-BBE8-8E1F63EFE660	4	Maur	Seewisen	erloschen, zuvor autochthon	0		693600	244310	250	440						Charlotte Salzmann	2	1934			NSG			0	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	7C0D200D-0E71-4C4D-ABA2-4423A7B02E17	40	Meilen, Roren	erloschen, zuvor autochthon	1916	692900	237600	-1871922134	D57E7342-F7A2-4B6E-B1AC-79BC25E8497C	1	Meilen	Roren	erloschen, zuvor autochthon	0		692900	237600	250					Riet bei den erratischen Blöcken unterhalb des hinteren Pfannenstiel		Charlotte Salzmann	2	1916			NSG			1	2011-05-25 17:07:05	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	AF32096F-5DA1-4573-B12E-21DA4F8C2D2F	42	Niederhasli, Nassenwil	erloschen, zuvor autochthon	1915	678200	257800	1781402690	2B809A87-6FEC-4634-BB89-513E7C24DB06	1	Niederhasli	Nassenwil	erloschen, zuvor autochthon	0		678200	257800								Charlotte Salzmann	2	1915						1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	66C93638-992D-47DC-9111-33C6CAAA4843	43	Niederhasli, Mettmenhaslisee	erloschen, zuvor autochthon	1920	679300	258800	444305217	01A5DD3D-125A-4274-B38B-A888DED1DA4B	1	Niederhasli	Mettmenhaslisee	erloschen, zuvor autochthon	0		679300	258800	250					Torfstich		Charlotte Salzmann	2	1920			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	F221DCC7-2D14-4105-AB2B-288ED1EE2F82	44	Oberglatt, Vordermoos	erloschen, zuvor autochthon	1963	682420	260160	-311544552	226E528F-F47D-438F-A55D-7802B0FF8328	1	Oberglatt	Vordermoos	erloschen, zuvor autochthon	0		682420	260160		430						Charlotte Salzmann	2	1963			NSG			1	2010-03-27 00:00:00	KarinMarti	
